,Date,Close,High,Low,Open,Volume
0,2019-01-01,29.719999313354492,29.84950065612793,28.355499267578125,28.43950080871582,6452000
1,2019-02-01,29.920499801635742,30.399999618530273,29.420000076293945,29.701000213623047,4874800
2,2019-03-01,28.559499740600586,29.79949951171875,28.475000381469727,29.79949951171875,2669400
3,2019-04-01,28.69099998474121,28.8799991607666,28.25,28.600000381469727,2315600
4,2019-05-01,28.80699920654297,34.34000015258789,28.152999877929688,28.69099998474121,6412400
5,2019-06-01,30.31100082397461,30.881000518798828,28.809999465942383,28.899999618530273,5876600
6,2019-07-01,31.15049934387207,34.0,29.855499267578125,30.149499893188477,5576400
7,2019-08-01,34.52750015258789,35.25,30.9060001373291,31.0,13369300
8,2019-09-01,33.67150115966797,35.70000076293945,33.369998931884766,34.52750015258789,9319400
9,2019-10-01,34.61750030517578,35.68949890136719,32.813499450683594,33.650001525878906,5023600
10,2019-11-01,34.18550109863281,36.987998962402344,33.85499954223633,34.70000076293945,5601100
11,2019-12-01,35.11949920654297,35.13999938964844,33.79999923706055,34.20000076293945,4041200
12,2020-01-01,36.5984992980957,38.983001708984375,34.50600051879883,38.983001708984375,9137300
13,2020-02-01,38.189998626708984,39.099998474121094,36.0,36.6349983215332,11098700
14,2020-03-01,40.36899948120117,41.9995002746582,34.727500915527344,37.74399948120117,24702300
15,2020-04-01,43.11349868774414,49.55799865722656,39.900001525878906,40.89899826049805,37644800
16,2020-05-01,41.85350036621094,46.96699905395508,41.599998474121094,43.11349868774414,39752600
17,2020-06-01,43.55799865722656,43.97999954223633,41.45000076293945,42.099998474121094,25509400
18,2020-07-01,48.1775016784668,48.599998474121094,43.0099983215332,43.97999954223633,60057900
19,2020-08-01,46.3385009765625,51.35749816894531,45.220001220703125,48.439998626708984,54795200
20,2020-09-01,45.08549880981445,46.884498596191406,44.23400115966797,46.884498596191406,26370200
21,2020-10-01,45.36800003051758,45.95000076293945,42.402000427246094,45.45000076293945,16722400
22,2020-11-01,43.77349853515625,48.40999984741211,43.599998474121094,45.36800003051758,23470500
23,2020-12-01,44.983001708984375,50.44599914550781,43.0,43.7599983215332,21534500
24,2021-01-01,43.62950134277344,47.051998138427734,43.51649856567383,44.97949981689453,44314400
25,2021-02-01,41.26300048828125,44.858001708984375,40.92499923706055,43.9900016784668,37177500
26,2021-03-01,39.40800094604492,41.26300048828125,39.349998474121094,41.26300048828125,69628800
27,2021-04-01,41.63249969482422,43.45000076293945,39.662498474121094,40.45000076293945,31922300
28,2021-05-01,43.628501892089844,43.68949890136719,41.605499267578125,41.94499969482422,26643400
29,2021-06-01,41.458499908447266,43.97999954223633,41.380001068115234,43.814998626708984,34722400
30,2021-07-01,42.94850158691406,43.099998474121094,41.6609992980957,41.6609992980957,27813300
31,2021-08-01,41.917999267578125,42.88999938964844,41.189998626708984,42.79100036621094,16683900
32,2021-09-01,40.84049987792969,42.45000076293945,40.80500030517578,42.04949951171875,25637500
33,2021-10-01,42.54949951171875,42.88999938964844,41.13999938964844,41.199501037597656,24475800
34,2021-11-01,42.599998474121094,44.04249954223633,40.933998107910156,42.489498138427734,43084700
35,2021-12-01,42.57849884033203,43.9995002746582,40.5099983215332,42.46950149536133,44248800
36,2022-01-01,42.16999816894531,45.5,0.4205000102519989,42.657501220703125,124455544
37,2022-02-01,44.58000183105469,45.79999923706055,42.20000076293945,42.36000061035156,24210900
38,2022-03-01,45.400001525878906,49.90999984741211,42.5,44.58000183105469,31045258
39,2022-04-01,46.0,49.939998626708984,44.939998626708984,45.650001525878906,14071481
40,2022-05-01,45.09000015258789,49.939998626708984,44.15999984741211,45.849998474121094,18800876
41,2022-06-01,45.040000915527344,53.4900016784668,44.5099983215332,44.9900016784668,25502889
42,2022-07-01,45.2400016784668,46.45000076293945,44.36000061035156,45.040000915527344,9376514
43,2022-08-01,44.9900016784668,46.43000030517578,44.439998626708984,45.470001220703125,10033691
44,2022-09-01,44.29999923706055,45.5,43.40999984741211,44.88999938964844,16533481
