Date,Close,High,Low,Open,Volume,return
2006-12-31,3393.095703125,3443.5956377205553,3208.995843903694,3299.89562851957,0,
2007-01-31,3107.745849609375,3505.545367176751,3059.3460119035467,3411.5454927134633,0,-0.08409720163590473
2007-02-28,3145.345947265625,3193.94573665218,2930.9961324512233,3118.7458847090593,4782000,0.012098832876239252
2007-03-31,3379.095703125,3453.3954111853495,2997.8461989419307,3067.2960597939064,43468300,0.0743160719928384
2007-04-30,3563.645263671875,3578.595439524256,3318.445631667749,3420.995547010251,58336600,0.054615073605699616
2007-05-31,3625.745361328125,3626.0954585364707,3413.0456822779574,3585.9954121830397,48949300,0.01742600429097263
2007-06-30,3783.84521484375,3883.894890423483,3615.645236582665,3629.995315721047,63583500,0.04360478681208657
2007-07-31,3711.545166015625,3793.8451065720838,3362.7956248214705,3739.295129508493,62431400,-0.019107559829481757
2007-08-31,4188.54443359375,4202.944805752729,3713.095336244865,3730.5953138041286,84209100,0.12851770522576933
2007-09-30,4806.84375,4843.643506091745,4129.744546484108,4206.694640180502,103731200,0.14761674997339158
2007-10-31,4869.54345703125,5019.9934562258,4512.194313476002,4859.693860495617,109107700,0.013043841300489634
2007-11-30,5354.693359375,5363.993152190148,4895.843847497687,4895.843847497687,90746900,0.09962944301138354
2007-12-31,4348.994140625,5563.492504338282,3744.4449063026104,5370.342862223943,106504500,-0.1878163979248637
2008-01-31,4360.6943359375,4639.943960715542,4044.744565160188,4404.094179965776,73225300,0.00269032216052123
2008-02-29,3825.844970703125,4262.24428823519,3603.445122253199,4236.54412736306,68160700,-0.12265234020797022
2008-03-31,4222.0947265625,4265.994573059518,3738.3951465833734,3860.144991700578,72367600,0.10357182763381845
2008-04-30,3959.644775390625,4315.944607021896,3917.2449279462517,4290.944639391887,73469500,-0.062161075998774074
2008-05-31,3203.345947265625,3987.8449308355293,3191.4458161995635,3987.8449308355293,74497500,-0.19100168601623868
2008-06-30,3456.6953125,3607.345256821443,3017.195902281097,3204.3956022425227,92817500,0.07908898052382818
2008-07-31,3489.04541015625,3721.2951013812176,3370.2455192721036,3432.595534034259,73291100,0.009358677792418169
2008-08-31,3058.59619140625,3619.7954258491513,2914.5963753139145,3455.1955384097037,76060600,-0.12337162981513705
2008-09-30,2225.697021484375,3119.0959919866773,1796.8976591556468,3083.9959405326645,94689100,-0.27231419834435
2008-10-31,2093.097412109375,2490.3469024187502,1955.29754008526,2318.797073697489,86277200,-0.05957666658805427
2008-11-30,2295.7470703125,2395.696893934719,1971.3474598767436,2099.497320754043,117457600,0.09681807307711465
