,Date,Close,High,Low,Open,Volume
0,2019-01-01,6044.64990234375,6325.14990234375,5932.14990234375,6272.39990234375,0
1,2019-02-01,5993.0,6121.5498046875,5755.35009765625,6068.39990234375,0
2,2019-03-01,6503.9501953125,6509.0,6013.14990234375,6014.85009765625,0
3,2019-04-01,6292.39990234375,6567.10009765625,6243.7001953125,6530.0498046875,0
4,2019-05-01,6442.2001953125,6482.60009765625,5920.0,6279.39990234375,0
5,2019-06-01,6346.5498046875,6535.7001953125,6128.2001953125,6446.64990234375,0
6,2019-07-01,5772.89990234375,6411.60009765625,5645.64990234375,6364.35009765625,0
7,2019-08-01,5712.7001953125,5829.39990234375,5492.9501953125,5755.7998046875,0
8,2019-09-01,5912.2001953125,6159.7998046875,5589.39990234375,5683.10009765625,0
9,2019-10-01,6201.64990234375,6212.7001953125,5710.39990234375,5922.25,0
10,2019-11-01,6321.64990234375,6351.75,6109.35009765625,6215.39990234375,0
11,2019-12-01,6321.60009765625,6334.2001953125,6095.60009765625,6328.5,0
12,2020-01-01,6661.75,6794.10009765625,6229.75,6335.7001953125,0
13,2020-02-01,6276.0,6808.2001953125,6219.5498046875,6485.9501953125,0
14,2020-03-01,4493.25,6416.89990234375,4088.050048828125,6351.5498046875,0
15,2020-04-01,5149.60009765625,5188.2998046875,4339.85009765625,4504.89990234375,0
16,2020-05-01,5053.7001953125,5071.35009765625,4747.75,5015.0498046875,0
17,2020-06-01,5626.2001953125,5786.5,5118.64990234375,5120.5,0
18,2020-07-01,5866.7001953125,5923.64990234375,5602.2998046875,5632.2001953125,0
19,2020-08-01,6362.0498046875,6670.89990234375,5865.0498046875,5877.5498046875,0
20,2020-09-01,6481.4501953125,6708.85009765625,6140.7001953125,6373.35009765625,0
21,2020-10-01,6494.7001953125,6592.5,6319.39990234375,6532.5498046875,0
22,2020-11-01,7455.60009765625,7477.89990234375,6473.7001953125,6521.7998046875,0
23,2020-12-01,7862.89990234375,7914.14990234375,7264.35009765625,7524.25,0
24,2021-01-01,7883.39990234375,8446.599609375,7845.5,7877.85009765625,0
25,2021-02-01,8816.0498046875,8932.650390625,7840.25,7933.2998046875,0
26,2021-03-01,8988.900390625,9316.849609375,8543.75,8893.099609375,0
27,2021-04-01,9128.7001953125,9298.9501953125,8647.5,9049.650390625,0
28,2021-05-01,9714.9501953125,9741.849609375,9048.849609375,9080.5,0
29,2021-06-01,10182.0498046875,10316.2998046875,9647.0498046875,9761.7998046875,0
30,2021-07-01,10506.150390625,10549.849609375,10147.400390625,10204.900390625,0
31,2021-08-01,10726.0,10733.849609375,10093.099609375,10574.2998046875,0
32,2021-09-01,11361.349609375,11451.7001953125,10716.0,10787.849609375,0
33,2021-10-01,11390.849609375,12338.5,11174.0,11337.099609375,0
34,2021-11-01,11223.5498046875,12041.349609375,10886.400390625,11440.400390625,0
35,2021-12-01,11543.5498046875,11857.7998046875,10785.650390625,11295.650390625,0
36,2022-01-01,11413.650390625,12138.2001953125,10834.75,11566.0,0
37,2022-02-01,10621.0,11676.9501953125,10119.2998046875,11519.650390625,0
38,2022-03-01,11131.099609375,11163.25,9990.349609375,10550.0498046875,0
39,2022-04-01,11201.9501953125,11775.4501953125,11114.0,11146.849609375,0
40,2022-05-01,10616.2998046875,11216.0,9951.099609375,11125.349609375,0
41,2022-06-01,10042.7998046875,10798.650390625,9496.599609375,10639.5,0
42,2022-07-01,11194.7001953125,11206.849609375,9937.849609375,10008.0498046875,0
43,2022-08-01,11867.0,11903.2001953125,11201.2001953125,11256.4501953125,0
44,2022-09-01,11654.4501953125,12314.099609375,11371.599609375,11805.25,0
45,2022-10-01,11868.150390625,11963.7998046875,11472.7998046875,11658.9501953125,0
46,2022-11-01,12093.5,12121.650390625,11653.349609375,11905.349609375,0
47,2022-12-01,11885.75,12378.5498046875,11291.4501953125,12158.400390625,0
48,2023-01-01,11596.650390625,12030.0,11314.150390625,11923.2998046875,0
49,2023-02-01,11411.25,11767.7001953125,11245.2998046875,11685.5498046875,0
50,2023-03-01,11352.25,11769.7998046875,11016.5,11428.0,0
51,2023-04-01,11943.5498046875,11950.7998046875,11361.0,11410.5,0
52,2023-05-01,12623.349609375,12635.4501953125,11990.5498046875,11997.2998046875,0
53,2023-06-01,13401.4501953125,13411.9501953125,12631.150390625,12635.2998046875,0
54,2023-07-01,14140.0,14153.849609375,13387.0,13472.75,0
55,2023-08-01,14693.849609375,14728.650390625,13857.849609375,14190.0498046875,0
56,2023-09-01,15141.0498046875,15599.0498046875,14679.599609375,14719.349609375,0
57,2023-10-01,14566.2998046875,15274.099609375,14133.2998046875,15156.7998046875,0
58,2023-11-01,15963.25,15990.0498046875,14529.2001953125,14604.150390625,0
59,2023-12-01,17077.05078125,17102.400390625,16034.75,16043.400390625,0
60,2024-01-01,17884.69921875,17893.94921875,16961.25,17135.0,0
61,2024-02-01,17831.099609375,18345.099609375,17293.599609375,17937.099609375,0
62,2024-03-01,17766.0,18156.0,16717.94921875,17925.05078125,0
63,2024-04-01,18893.0,19009.94921875,17833.55078125,17902.849609375,0
64,2024-05-01,19308.75,19717.400390625,18081.099609375,18971.849609375,0
65,2024-06-01,20831.94921875,20922.900390625,17744.849609375,20033.150390625,0
66,2024-07-01,21860.94921875,21913.099609375,20264.900390625,20898.349609375,0
67,2024-08-01,21925.44921875,21969.400390625,20555.94921875,21960.80078125,0
68,2024-09-01,22311.94921875,22515.400390625,21415.94921875,22014.150390625,0
69,2024-10-01,20876.69921875,22400.30078125,20365.80078125,22339.75,0
70,2024-11-01,20906.650390625,21434.75,19936.849609375,21014.75,0
71,2024-12-01,21141.19921875,21960.25,20849.650390625,20911.05078125,0
72,2025-01-01,19850.94921875,21579.349609375,18778.0,21148.80078125,0
73,2025-02-01,17750.55078125,20098.900390625,17591.900390625,19632.150390625,0
74,2025-03-01,19120.349609375,19568.400390625,17379.599609375,17768.55078125,0
75,2025-04-01,19873.150390625,20282.0,17269.5,19081.44921875,0
76,2025-05-01,21125.55078125,21268.599609375,19165.099609375,19836.94921875,0
77,2025-06-01,21988.650390625,22007.19921875,20974.30078125,21115.94921875,0
